checklist_id,pland_00,pland_01,pland_02,pland_03,pland_04,pland_05,pland_06,pland_08,pland_09,pland_10,pland_11,pland_12,pland_13,pland_14,pland_15
S47991897,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0.25,0,0,0
S47853591,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0
S38738034,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0
S47799081,0.25,0,0,0,0,0,0,0.25,0.25,0,0.25,0,0,0,0
S47853316,0,0,0,0,0.25,0.25,0,0.25,0.25,0,0,0,0,0,0
S38983484,0.25,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.25
S51648755,0.16666666666666666,0,0,0,0,0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,0,0.16666666666666666,0
S47712398,0,0,0,0,0.2,0,0,0.2,0.2,0.2,0,0,0.2,0,0
S38944303,0.3333333333333333,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0.3333333333333333,0,0
S38717016,0,0,0,0,0,0.2,0,0.2,0.2,0,0,0.2,0,0.2,0
S51614430,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0
S46458398,0.16666666666666666,0,0,0,0,0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,0.16666666666666666,0,0
S47717430,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0
S38672033,0,0,0,0,0.25,0.25,0,0.25,0,0.25,0,0,0,0,0
S47249600,0,0,0,0,0.3333333333333333,0,0,0.3333333333333333,0,0,0.3333333333333333,0,0,0,0
S41868015,0,0,0.3333333333333333,0,0,0.3333333333333333,0,0.3333333333333333,0,0,0,0,0,0,0
S48052733,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,0,0
S47838794,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
S47072221,0.25,0,0,0,0,0,0,0.25,0.25,0,0.25,0,0,0,0
S47072442,0.25,0,0,0,0,0,0,0.25,0.25,0,0.25,0,0,0,0
S47169904,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0.3333333333333333,0,0
S47169922,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0.3333333333333333,0,0
S47056941,0.25,0,0,0,0,0,0,0.25,0,0.25,0.25,0,0,0,0
S38370353,0,0,0,0,0,0.25,0,0.25,0.25,0,0,0,0.25,0,0
S38672716,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0.3333333333333333,0,0
